r (micron)	S(t=0.00 hr, avg=2.284e+23)	S(t=55.00 hr, avg=2.261e+23)	S(t=110.00 hr, avg=2.238e+23)	S(t=165.00 hr, avg=2.215e+23)	S(t=220.00 hr, avg=2.192e+23)	S(t=275.00 hr, avg=2.170e+23)	S(t=330.00 hr, avg=2.147e+23)	S(t=385.00 hr, avg=2.124e+23)	S(t=440.00 hr, avg=2.101e+23)	S(t=495.00 hr, avg=2.078e+23)	S(t=550.00 hr, avg=2.055e+23)	S(t=605.00 hr, avg=2.033e+23)	S(t=660.00 hr, avg=2.010e+23)	S(t=715.00 hr, avg=1.987e+23)	S(t=770.00 hr, avg=1.964e+23)	S(t=825.00 hr, avg=1.941e+23)	S(t=880.00 hr, avg=1.918e+23)	S(t=935.00 hr, avg=1.896e+23)	S(t=990.00 hr, avg=1.873e+23)	S(t=1045.00 hr, avg=1.850e+23)	S(t=1100.00 hr, avg=1.827e+23)	S(t=1155.00 hr, avg=1.804e+23)	S(t=1210.00 hr, avg=1.781e+23)	S(t=1265.00 hr, avg=1.759e+23)	S(t=1320.00 hr, avg=1.736e+23)	S(t=1375.00 hr, avg=1.713e+23)	S(t=1430.00 hr, avg=1.690e+23)	S(t=1485.00 hr, avg=1.667e+23)	S(t=1540.00 hr, avg=1.644e+23)	S(t=1595.00 hr, avg=1.622e+23)	S(t=1650.00 hr, avg=1.599e+23)	S(t=1705.00 hr, avg=1.576e+23)	S(t=1760.00 hr, avg=1.553e+23)	S(t=1815.00 hr, avg=1.530e+23)	S(t=1870.00 hr, avg=1.507e+23)	S(t=1925.00 hr, avg=1.485e+23)	S(t=1980.00 hr, avg=1.462e+23)	S(t=2035.00 hr, avg=1.439e+23)	S(t=2090.00 hr, avg=1.416e+23)	S(t=2145.00 hr, avg=1.393e+23)	S(t=2200.00 hr, avg=1.370e+23)	S(t=2255.00 hr, avg=1.348e+23)	S(t=2310.00 hr, avg=1.325e+23)	S(t=2365.00 hr, avg=1.302e+23)	S(t=2420.00 hr, avg=1.279e+23)	S(t=2475.00 hr, avg=1.256e+23)	S(t=2530.00 hr, avg=1.233e+23)	S(t=2585.00 hr, avg=1.210e+23)	S(t=2640.00 hr, avg=1.188e+23)	S(t=2695.00 hr, avg=1.165e+23)	S(t=2750.00 hr, avg=1.142e+23)	S(t=2805.00 hr, avg=1.119e+23)	S(t=2860.00 hr, avg=1.096e+23)	S(t=2915.00 hr, avg=1.073e+23)	S(t=2970.00 hr, avg=1.051e+23)	S(t=3025.00 hr, avg=1.028e+23)	S(t=3080.00 hr, avg=1.005e+23)	S(t=3135.00 hr, avg=9.821e+22)	S(t=3190.00 hr, avg=9.593e+22)	S(t=3245.00 hr, avg=9.364e+22)	S(t=3300.00 hr, avg=9.136e+22)	S(t=3355.00 hr, avg=8.908e+22)	S(t=3410.00 hr, avg=8.679e+22)	S(t=3465.00 hr, avg=8.451e+22)	S(t=3520.00 hr, avg=8.222e+22)	S(t=3575.00 hr, avg=7.994e+22)	S(t=3630.00 hr, avg=7.766e+22)	S(t=3685.00 hr, avg=7.537e+22)	S(t=3740.00 hr, avg=7.309e+22)	S(t=3795.00 hr, avg=7.081e+22)	S(t=3850.00 hr, avg=6.852e+22)	S(t=3905.00 hr, avg=6.624e+22)	S(t=3960.00 hr, avg=6.395e+22)	S(t=4015.00 hr, avg=6.167e+22)	S(t=4070.00 hr, avg=5.939e+22)	S(t=4125.00 hr, avg=5.710e+22)	S(t=4180.00 hr, avg=5.482e+22)	S(t=4235.00 hr, avg=5.254e+22)	S(t=4290.00 hr, avg=5.025e+22)	S(t=4345.00 hr, avg=4.797e+22)	S(t=4400.00 hr, avg=4.568e+22)	S(t=4455.00 hr, avg=4.340e+22)	S(t=4510.00 hr, avg=4.112e+22)	S(t=4565.00 hr, avg=3.883e+22)	S(t=4620.00 hr, avg=3.655e+22)	S(t=4675.00 hr, avg=3.427e+22)	S(t=4730.00 hr, avg=3.198e+22)	S(t=4785.00 hr, avg=2.970e+22)	S(t=4840.00 hr, avg=2.741e+22)	S(t=4895.00 hr, avg=2.513e+22)	S(t=4950.00 hr, avg=2.285e+22)	S(t=5005.00 hr, avg=2.056e+22)	S(t=5060.00 hr, avg=1.828e+22)	S(t=5115.00 hr, avg=1.600e+22)	S(t=5170.00 hr, avg=1.371e+22)	S(t=5225.00 hr, avg=1.143e+22)	S(t=5280.00 hr, avg=9.145e+21)	S(t=5335.00 hr, avg=6.861e+21)	S(t=5390.00 hr, avg=4.577e+21)	S(t=5445.00 hr, avg=2.294e+21)	S(t=5500.00 hr, avg=1.000e+19)
0.770	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.775	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.780	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.785	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.790	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.795	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.800	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.805	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.810	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.815	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.820	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.825	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.830	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
0.835	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19	1.000000e+19
